### Valerith ###
	disallow_random_traits = yes

	father = victaris_valerith_1066
	mother = valindra_valerith_1066
	
	1050.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	1065.1.1 = {
		employer = seraphine_valerith_1066
	}
}

belanor_valerith = {
	name = "Belanor"
	dna = hannah_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 16
	diplomacy = 10
	intrigue = 16
	stewardship = 8
	learning = 8
	prowess = 15
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = vengeful
	trait = impatient
	trait = wrathful
	trait = education_martial_4
	trait = beauty_good_2
	trait = intellect_good_2
	trait = magic_talent_1
	trait = bastard
	trait = strategist
	trait = scarred
	trait = one_eyed
	trait = royal_elf_valerith

	disallow_random_traits = yes

	father = victaris_valerith
	
	845.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf_blood
		}
	}

	860.1.1 = {
		add_spouse = selene_serelion
		effect = {
			set_relation_nemesis = {
				reason = nemesis_disowned
				target = character:victaris_valerith
			}
			set_relation_nemesis = {
				reason = nemesis_stole_birthright
				target = character:seraphine_valerith
			}
			set_relation_nemesis = {
				reason = nemesis_evil_step_mother
				target = character:valindra_valerith
			}
			set_relation_rival = { 
				reason = nemesis_stole_birthright
				target = character:hannah_valerith
			}
			add_pressed_claim = title:c_martyuba
			add_pressed_claim = title:d_martyuba
			set_relation_lover = character:selene_serelion
		}
	}

	# 866.1.1 = {
	# 	employer = 170146
	# }

	957.1.1 = {
		death = yes
	}
}

belanor_valerith_1066 = {
	name = "Belanor"
	dna = hannah_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 16
	diplomacy = 10
	intrigue = 16
	stewardship = 8
	learning = 8
	prowess = 15
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = vengeful
	trait = impatient
	trait = wrathful
	trait = education_martial_4
	trait = beauty_good_2
	trait = intellect_good_2
	trait = magic_talent_1
	trait = strategist
	trait = bastard
	trait = scarred
	trait = one_eyed
	trait = royal_elf_valerith

	disallow_random_traits = yes

	father = victaris_valerith_1066
	
	1044.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf_blood
		}
	}

	1060.1.1 = {
		add_spouse = selene_serelion_1066
		effect = {
			set_relation_nemesis = {
				reason = nemesis_disowned
				target = character:victaris_valerith_1066
			}
			set_relation_nemesis = {
				reason = nemesis_stole_birthright
				target = character:seraphine_valerith_1066
			}
			set_relation_nemesis = {
				reason = nemesis_evil_step_mother
				target = character:valindra_valerith_1066
			}
			set_relation_rival = { 
				reason = nemesis_stole_birthright
				target = character:hannah_valerith_1066
			}
			add_pressed_claim = title:c_martyuba
			add_pressed_claim = title:d_martyuba
			set_relation_lover = character:selene_serelion_1066
		}
	}

	# 1065.1.1 = {
	# 	employer = seraphine_valerith_1066
	# }
}

valindra_valerith = {
	name = "Valindra"
	dna = valindra_valerith
	female = yes
	sexuality = heterosexual
	dynasty = 696970
	martial = 7
	diplomacy = 11
	intrigue = 7
	stewardship = 10
	learning = 8
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = arrogant
	trait = arbitrary
	trait = education_diplomacy_4
	trait = intellect_good_1
	trait = beauty_good_3
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_matron
	trait = elven_immortality
	
	disallow_random_traits = yes

	mother = felicity_valerith
	
	829.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
			add_character_flag = race_elf
		}
	}

	865.1.1 = {
		employer = seraphine_valerith
	}

	957.1.1 = {
		death = yes
	}
}

valindra_valerith_1066 = {
	name = "Valindra"
	dna = valindra_valerith
	female = yes
	sexuality = heterosexual
	dynasty = 696970
	martial = 7
	diplomacy = 11
	intrigue = 7
	stewardship = 10
	learning = 8
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = arrogant
	trait = arbitrary
	trait = education_diplomacy_4
	trait = intellect_good_1
	trait = beauty_good_3
	trait = magic_talent_2
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_matron
	trait = elven_immortality
	
	disallow_random_traits = yes

	mother = felicity_valerith_1066

	1028.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
			add_character_flag = race_elf
		}
	}

	1065.1.1 = {
		employer = seraphine_valerith
	}
}

victaris_valerith = {
	name = "Victaris"
	dna = victaris_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 7
	diplomacy = 7
	intrigue = 7
	stewardship = 10
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = diligent
	trait = temperate
	trait = education_stewardship_4
	trait = intellect_good_1
	trait = beauty_good_1
	trait = physique_good_2
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = elven_immortality
	
	disallow_random_traits = yes

	mother = felicity_valerith

	825.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
			add_character_flag = race_elf
		}
	}

	850.1.1 = {
		add_spouse = valindra_valerith
	}

	865.1.1 = {
		employer = seraphine_valerith
	}

	957.1.1 = {
		death = yes
	}
}

victaris_valerith_1066 = {
	name = "Victaris"
	dna = victaris_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 7
	diplomacy = 7
	intrigue = 7
	stewardship = 10
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = calm
	trait = diligent
	trait = temperate
	trait = education_stewardship_4
	trait = intellect_good_1
	trait = beauty_good_1
	trait = physique_good_2
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = elven_immortality
	
	disallow_random_traits = yes
	mother = felicity_valerith_1066
	
	1026.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
			add_character_flag = race_elf
		}
	}

	1045.1.1 = {
		add_spouse = valindra_valerith_1066
	}

	1065.1.1 = {
		employer = seraphine_valerith
	}
}

virion_valerith = {
	name = "Virion"
	dna = virion_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 13
	diplomacy = 7
	intrigue = 7
	stewardship = 10
	learning = 8
	prowess = 13
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = brave
	trait = diligent
	trait = just
	trait = education_martial_4
	trait = intellect_good_1
	trait = beauty_good_2
	trait = physique_good_2
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = athletic
	
	disallow_random_traits = yes

	mother = felicity_valerith

	827.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
			add_character_flag = race_high_elf
		}
	}

	# 850.1.1 = {
	# 	add_spouse = valindra_valerith
	# }

	865.1.1 = {
		employer = seraphine_valerith
	}

	957.1.1 = {
		death = yes
	}
}

virion_valerith_1066 = {
	name = "Virion"
	dna = virion_valerith
	female = no
	sexuality = heterosexual
	dynasty = 696970
	martial = 13
	diplomacy = 7
	intrigue = 7
	stewardship = 10
	learning = 8
	prowess = 13
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = brave
	trait = diligent
	trait = just
	trait = education_martial_4
	trait = intellect_good_1
	trait = beauty_good_2
	trait = physique_good_2
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = athletic
	
	disallow_random_traits = yes

	mother = felicity_valerith_1066

	1026.1.1 = {
		birth = yes
		effect = {
			set_immortal_age = 30
			add_character_flag = race_high_elf
		}
	}

	# 850.1.1 = {
	# 	add_spouse = valindra_valerith
	# }

	1064.1.1 = {
		employer = seraphine_valerith
	}

	1156.1.1 = {
		death = yes
	}
}

niala_valerith = {
	name = "Niala"
	dna = niala_valerith
	female = yes
	sexuality = bisexual
	dynasty = 696970
	martial = 5
	diplomacy = 17
	intrigue = 13
	stewardship = 5
	learning = 5
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = lustful
	trait = impatient
	trait = gregarious
	trait = education_diplomacy_2
	trait = beauty_good_3
	trait = dull
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_sister
	trait = rakish
	trait = seducer

	disallow_random_traits = yes

	father = virion_valerith
	
	848.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	865.1.1 = {
		employer = virion_valerith
	}

	957.1.1 = {
		death = yes
	}
}

niala_valerith_1066 = {
	name = "Niala"
	dna = niala_valerith
	female = yes
	sexuality = bisexual
	dynasty = 696970
	martial = 5
	diplomacy = 17
	intrigue = 13
	stewardship = 5
	learning = 5
	religion = "aeluran_weavers"
	culture = "elf_culture_valerith"
	trait = lustful
	trait = impatient
	trait = gregarious
	trait = education_diplomacy_2
	trait = beauty_good_3
	trait = dull
	trait = magic_talent_1
	trait = fecund
	trait = pure_blooded
	trait = royal_elf_valerith
	trait = aeluran_sister
	trait = rakish
	trait = seducer

	disallow_random_traits = yes

	father = virion_valerith_1066
	
	1047.1.1 = {
		birth = yes
		effect = {
			add_character_flag = race_elf
		}
	}

	1064.1.1 = {
		employer = virion_valerith_1066
	}

	1157.1.1 = {
		death = yes
	}
}


# seraphina_dawnsinger = {
# 	name = "Seraphina"
# 	dna = seraphina_dawnsinger
# 	female = yes
# 	sexuality = heterosexual
# 	dynasty = 696970
# 	martial = 7
# 	diplomacy = 11
# 	intrigue = 11
# 	stewardship = 7
# 	learning = 16
# 	religion = "aeluran_weavers"
# 	culture = "elf_culture_valerith"
# 	trait = calm
# 	trait = content
# 	trait = shy
# 	trait = education_learning_4
# 	trait = beauty_good_3
# 	trait = magic_talent_2
# 	trait = magi
# 	trait = pure_blooded
# 	trait = royal_elf_valerith
# 	# trait = seducer
# 	trait = aeluran_matron

# 	disallow_random_traits = yes
	
# 	848.1.1 = {
# 		birth = yes
# 		effect = {
# 			add_character_flag = race_elf
# 		}
# 	}
# 	957.1.1 = {
# 		death = yes
# 	}
# }

# seraphina_dawnsinger_1066 = {
# 	name = "Seraphina"
# 	dna = seraphina_dawnsinger
# 	female = yes
# 	sexuality = heterosexual
# 	dynasty = 696970
# 	martial = 7
# 	diplomacy = 11
# 	intrigue = 11
# 	stewardship = 7
# 	learning = 16
# 	religion = "aeluran_weavers"
# 	culture = "elf_culture_valerith"
# 	trait = calm
# 	trait = content
# 	trait = shy
# 	trait = education_learning_4
# 	trait = beauty_good_3
# 	trait = magic_talent_2
# 	trait = magi
# 	trait = pure_blooded
# 	trait = royal_elf_valerith
# 	# trait = seducer
# 	trait = aeluran_matron

# 	disallow_random_traits = yes

# 	father = victaris_valerith_1066
	
# 	1047.1.1 = {
# 		birth = yes
# 		effect = {
# 			add_character_flag = race_elf
# 		}
# 	}
# 	# 957.1.1 = {
# 	# 	death = yes
# 	# }
# }

# elowen_dawnsinger = {
# 	name = "Elowen"
# 	dna = elowen_dawnsinger
# 	female = yes
# 	sexuality = bisexual
# 	dynasty = 696970
# 	martial = 7
# 	diplomacy = 13
# 	intrigue = 13
# 	stewardship = 6
# 	learning = 6
# 	religion = "aeluran_weavers"
# 	culture = "elf_culture_valerith"
# 	trait = just
# 	trait = humble
# 	trait = forgiving
# 	trait = education_intrigue_5
# 	trait = beauty_good_1
# 	trait = intellect_good_2
# 	trait = magic_talent_2
# 	trait = magi
# 	trait = royal_elf_valerith
# 	# trait = seducer
# 	trait = aeluran_sister

# 	disallow_random_traits = yes

# 	mother = seraphina_dawnsinger
	
# 	848.1.1 = {
# 		birth = yes
# 		effect = {
# 			add_character_flag = race_elf
# 		}
# 	}
# 	957.1.1 = {
# 		death = yes
# 	}
# }

# elowen_dawnsinger_1066 = {
# 	name = "Elowen"
# 	dna = elowen_dawnsinger
# 	female = yes
# 	sexuality = bisexual
# 	dynasty = 696970
# 	martial = 7
# 	diplomacy = 13
# 	intrigue = 13
# 	stewardship = 6
# 	learning = 6
# 	religion = "aeluran_weavers"
# 	culture = "elf_culture_valerith"
# 	trait = just
# 	trait = humble
# 	trait = forgiving
# 	trait = education_intrigue_5
# 	trait = beauty_good_1
# 	trait = intellect_good_2
# 	trait = magic_talent_2
# 	trait = magi
# 	trait = royal_elf_valerith
# 	trait = aeluran_sister

# 	disallow_random_traits = yes

# 	mother = seraphina_dawnsinger_1066
	
# 	1047.1.1 = {
# 		birth = yes
# 		effect = {
# 			add_character_flag = race_elf
# 		}
# 	}
# 	# 957.1.1 = {
# 	# 	death = yes
# 	# }
# }
